image_id,file_path,class_id,class_name_raw,is_training,class_name,image_path
2,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,1,001.Black_footed_Albatross,1,Black footed Albatross,CUB_200_2011\images\001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg
4,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,1,001.Black_footed_Albatross,1,Black footed Albatross,CUB_200_2011\images\001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg
5,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,1,001.Black_footed_Albatross,1,Black footed Albatross,CUB_200_2011\images\001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg
7,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,1,001.Black_footed_Albatross,1,Black footed Albatross,CUB_200_2011\images\001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg
8,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,1,001.Black_footed_Albatross,1,Black footed Albatross,CUB_200_2011\images\001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg
9,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,1,001.Black_footed_Albatross,1,Black footed Albatross,CUB_200_2011\images\001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg
11,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,1,001.Black_footed_Albatross,1,Black footed Albatross,CUB_200_2011\images\001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg
15,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,1,001.Black_footed_Albatross,1,Black footed Albatross,CUB_200_2011\images\001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg
18,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,1,001.Black_footed_Albatross,1,Black footed Albatross,CUB_200_2011\images\001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg
20,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,1,001.Black_footed_Albatross,1,Black footed Albatross,CUB_200_2011\images\001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg
21,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,1,001.Black_footed_Albatross,1,Black footed Albatross,CUB_200_2011\images\001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg
23,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,1,001.Black_footed_Albatross,1,Black footed Albatross,CUB_200_2011\images\001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg
